genome	target_illumina_depth	polishing	remaining_errors
ATCC_14035_Vibrio_cholerae	00.2	FMLRC2	10944
ATCC_14035_Vibrio_cholerae	00.2	NextPolish	6243
ATCC_14035_Vibrio_cholerae	00.2	Pilon	4663
ATCC_17802_Vibrio_parahaemolyticus	00.2	Polypolish	4201
ATCC_17802_Vibrio_parahaemolyticus	00.2	Polypolish-careful	4201
ATCC_17802_Vibrio_parahaemolyticus	00.2	pypolca	4187
ATCC_17802_Vibrio_parahaemolyticus	00.2	pypolca-careful	4197
ATCC_17802_Vibrio_parahaemolyticus	00.2	HyPo	4202
ATCC_17802_Vibrio_parahaemolyticus	00.2	FMLRC2	4209
ATCC_17802_Vibrio_parahaemolyticus	00.2	NextPolish	5583
ATCC_17802_Vibrio_parahaemolyticus	00.2	Pilon	4202
ATCC_19119_Listeria_ivanovii	00.2	Polypolish	935
ATCC_19119_Listeria_ivanovii	00.2	Polypolish-careful	935
ATCC_19119_Listeria_ivanovii	00.2	pypolca	933
ATCC_19119_Listeria_ivanovii	00.2	pypolca-careful	934
ATCC_19119_Listeria_ivanovii	00.2	HyPo	937
ATCC_19119_Listeria_ivanovii	00.2	FMLRC2	936
ATCC_19119_Listeria_ivanovii	00.2	NextPolish	1380
ATCC_19119_Listeria_ivanovii	00.2	Pilon	935
ATCC_25922_Escherichia_coli	00.2	Polypolish	5509
ATCC_25922_Escherichia_coli	00.2	Polypolish-careful	5509
ATCC_25922_Escherichia_coli	00.2	pypolca	5487
ATCC_25922_Escherichia_coli	00.2	pypolca-careful	5504
ATCC_25922_Escherichia_coli	00.2	HyPo	5509
ATCC_25922_Escherichia_coli	00.2	FMLRC2	5514
ATCC_25922_Escherichia_coli	00.2	NextPolish	7069
ATCC_25922_Escherichia_coli	00.2	Pilon	5510
ATCC_33560_Campylobacter_jejuni	00.2	Polypolish	2538
ATCC_33560_Campylobacter_jejuni	00.2	Polypolish-careful	2538
ATCC_33560_Campylobacter_jejuni	00.2	pypolca	2525
ATCC_33560_Campylobacter_jejuni	00.2	pypolca-careful	2537
ATCC_33560_Campylobacter_jejuni	00.2	HyPo	2538
ATCC_33560_Campylobacter_jejuni	00.2	FMLRC2	2538
ATCC_33560_Campylobacter_jejuni	00.2	NextPolish	2885
ATCC_33560_Campylobacter_jejuni	00.2	Pilon	2538
ATCC_35221_Campylobacter_lari	00.2	Polypolish	2739
ATCC_35221_Campylobacter_lari	00.2	Polypolish-careful	2739
ATCC_35221_Campylobacter_lari	00.2	pypolca	2725
ATCC_35221_Campylobacter_lari	00.2	pypolca-careful	2739
ATCC_35221_Campylobacter_lari	00.2	HyPo	2738
ATCC_35221_Campylobacter_lari	00.2	FMLRC2	2739
ATCC_35221_Campylobacter_lari	00.2	NextPolish	2962
ATCC_35221_Campylobacter_lari	00.2	Pilon	2739
ATCC_35897_Listeria_welshimeri	00.2	Polypolish	668
ATCC_35897_Listeria_welshimeri	00.2	Polypolish-careful	668
ATCC_35897_Listeria_welshimeri	00.2	pypolca	668
ATCC_35897_Listeria_welshimeri	00.2	pypolca-careful	668
ATCC_35897_Listeria_welshimeri	00.2	HyPo	668
ATCC_35897_Listeria_welshimeri	00.2	FMLRC2	668
ATCC_35897_Listeria_welshimeri	00.2	NextPolish	2008
ATCC_35897_Listeria_welshimeri	00.2	Pilon	668
ATCC_BAA-679_Listeria_monocytogenes	00.2	Polypolish	795
ATCC_BAA-679_Listeria_monocytogenes	00.2	Polypolish-careful	795
ATCC_BAA-679_Listeria_monocytogenes	00.2	pypolca	793
ATCC_BAA-679_Listeria_monocytogenes	00.2	pypolca-careful	794
ATCC_BAA-679_Listeria_monocytogenes	00.2	HyPo	796
ATCC_BAA-679_Listeria_monocytogenes	00.2	FMLRC2	795
ATCC_BAA-679_Listeria_monocytogenes	00.2	NextPolish	1934
ATCC_BAA-679_Listeria_monocytogenes	00.2	Pilon	795
ATCC_10708_Salmonella_enterica	00.3	Polypolish	4132
ATCC_10708_Salmonella_enterica	00.3	Polypolish-careful	4132
ATCC_10708_Salmonella_enterica	00.3	pypolca	4083
ATCC_10708_Salmonella_enterica	00.3	pypolca-careful	4106
ATCC_10708_Salmonella_enterica	00.3	HyPo	4128
ATCC_10708_Salmonella_enterica	00.3	FMLRC2	4133
ATCC_10708_Salmonella_enterica	00.3	NextPolish	6011
ATCC_10708_Salmonella_enterica	00.3	Pilon	4129
ATCC_14035_Vibrio_cholerae	00.3	Polypolish	4663
ATCC_14035_Vibrio_cholerae	00.3	Polypolish-careful	4663
ATCC_14035_Vibrio_cholerae	00.3	pypolca	4624
ATCC_14035_Vibrio_cholerae	00.3	pypolca-careful	4650
ATCC_14035_Vibrio_cholerae	00.3	HyPo	4657
ATCC_14035_Vibrio_cholerae	00.3	FMLRC2	18657
ATCC_14035_Vibrio_cholerae	00.3	NextPolish	6778
ATCC_14035_Vibrio_cholerae	00.3	Pilon	4664
ATCC_17802_Vibrio_parahaemolyticus	00.3	Polypolish	4199
ATCC_17802_Vibrio_parahaemolyticus	00.3	Polypolish-careful	4199
ATCC_17802_Vibrio_parahaemolyticus	00.3	pypolca	4155
ATCC_17802_Vibrio_parahaemolyticus	00.3	pypolca-careful	4188
ATCC_17802_Vibrio_parahaemolyticus	00.3	HyPo	4193
ATCC_17802_Vibrio_parahaemolyticus	00.3	FMLRC2	4679
ATCC_17802_Vibrio_parahaemolyticus	00.3	NextPolish	6493
ATCC_17802_Vibrio_parahaemolyticus	00.3	Pilon	4200
ATCC_19119_Listeria_ivanovii	00.3	Polypolish	936
ATCC_19119_Listeria_ivanovii	00.3	Polypolish-careful	936
ATCC_19119_Listeria_ivanovii	00.3	pypolca	933
ATCC_19119_Listeria_ivanovii	00.3	pypolca-careful	934
ATCC_19119_Listeria_ivanovii	00.3	HyPo	936
ATCC_19119_Listeria_ivanovii	00.3	FMLRC2	936
ATCC_19119_Listeria_ivanovii	00.3	NextPolish	1773
ATCC_19119_Listeria_ivanovii	00.3	Pilon	936
ATCC_25922_Escherichia_coli	00.3	Polypolish	5505
ATCC_25922_Escherichia_coli	00.3	Polypolish-careful	5505
ATCC_25922_Escherichia_coli	00.3	pypolca	5456
ATCC_25922_Escherichia_coli	00.3	pypolca-careful	5489
ATCC_25922_Escherichia_coli	00.3	HyPo	5503
ATCC_25922_Escherichia_coli	00.3	FMLRC2	9661
ATCC_25922_Escherichia_coli	00.3	NextPolish	7540
ATCC_25922_Escherichia_coli	00.3	Pilon	5506
ATCC_33560_Campylobacter_jejuni	00.3	Polypolish	2538
ATCC_33560_Campylobacter_jejuni	00.3	Polypolish-careful	2538
ATCC_33560_Campylobacter_jejuni	00.3	pypolca	2512
ATCC_33560_Campylobacter_jejuni	00.3	pypolca-careful	2531
ATCC_33560_Campylobacter_jejuni	00.3	HyPo	2537
ATCC_33560_Campylobacter_jejuni	00.3	FMLRC2	2538
ATCC_33560_Campylobacter_jejuni	00.3	NextPolish	2959
ATCC_33560_Campylobacter_jejuni	00.3	Pilon	2538
ATCC_35221_Campylobacter_lari	00.3	Polypolish	2739
ATCC_35221_Campylobacter_lari	00.3	Polypolish-careful	2739
ATCC_35221_Campylobacter_lari	00.3	pypolca	2711
ATCC_35221_Campylobacter_lari	00.3	pypolca-careful	2732
ATCC_35221_Campylobacter_lari	00.3	HyPo	2735
ATCC_35221_Campylobacter_lari	00.3	FMLRC2	2741
ATCC_35221_Campylobacter_lari	00.3	NextPolish	3056
ATCC_35221_Campylobacter_lari	00.3	Pilon	2739
ATCC_35897_Listeria_welshimeri	00.3	Polypolish	667
ATCC_35897_Listeria_welshimeri	00.3	Polypolish-careful	667
ATCC_35897_Listeria_welshimeri	00.3	pypolca	666
ATCC_35897_Listeria_welshimeri	00.3	pypolca-careful	666
ATCC_35897_Listeria_welshimeri	00.3	HyPo	668
ATCC_35897_Listeria_welshimeri	00.3	FMLRC2	668
ATCC_35897_Listeria_welshimeri	00.3	NextPolish	2541
ATCC_35897_Listeria_welshimeri	00.3	Pilon	667
ATCC_BAA-679_Listeria_monocytogenes	00.3	Polypolish	795
ATCC_BAA-679_Listeria_monocytogenes	00.3	Polypolish-careful	795
ATCC_BAA-679_Listeria_monocytogenes	00.3	pypolca	792
ATCC_BAA-679_Listeria_monocytogenes	00.3	pypolca-careful	790
ATCC_BAA-679_Listeria_monocytogenes	00.3	HyPo	795
ATCC_BAA-679_Listeria_monocytogenes	00.3	FMLRC2	795
ATCC_BAA-679_Listeria_monocytogenes	00.3	NextPolish	2513
ATCC_BAA-679_Listeria_monocytogenes	00.3	Pilon	795
ATCC_10708_Salmonella_enterica	00.4	Polypolish	4128
ATCC_10708_Salmonella_enterica	00.4	Polypolish-careful	4128
ATCC_10708_Salmonella_enterica	00.4	pypolca	4074
ATCC_10708_Salmonella_enterica	00.4	pypolca-careful	4108
ATCC_10708_Salmonella_enterica	00.4	HyPo	4119
ATCC_10708_Salmonella_enterica	00.4	FMLRC2	4142
ATCC_10708_Salmonella_enterica	00.4	NextPolish	6488
ATCC_10708_Salmonella_enterica	00.4	Pilon	4128
ATCC_14035_Vibrio_cholerae	00.4	Polypolish	4663
ATCC_14035_Vibrio_cholerae	00.4	Polypolish-careful	4663
ATCC_14035_Vibrio_cholerae	00.4	pypolca	4575
ATCC_14035_Vibrio_cholerae	00.4	pypolca-careful	4637
ATCC_14035_Vibrio_cholerae	00.4	HyPo	4649
