tool	parameters	description	errors_05	errors_10	errors_15	errors_20	total_errors
Pilon	--fix bases --flank 11 --K 13 --mindepth 2 --minmq 15 --minqual 30	mutated	12	6	3	0	21
Pilon	--fix all --flank 4 --K 25 --mindepth 0.16 --minmq 20 --minqual 21 --nostrays	random	14	1823	350	0	2187
Pilon	--fix all --flank 11 --K 13 --mindepth 2 --minmq 12 --minqual 30	mutated	12	23354	19063	7692	50121
Pilon	--fix all --flank 20 --K 11 --mindepth 2 --minmq 58 --minqual 36	random	18	18	17	17	70
Pilon	--fix bases --flank 11 --K 13 --mindepth 1 --minmq 15 --minqual 30	mutated	47	15	7	0	69
Pilon	--fix bases --flank 16 --K 23 --mindepth 26 --minmq 47 --minqual 3 --nostrays	random	18	18	18	18	72
Pilon	--fix bases --flank 11 --K 11 --mindepth 2 --minmq 17 --minqual 29	mutated	12	6	3	0	21
Pilon	--fix all --flank 7 --K 83 --mindepth 2 --minmq 21 --minqual 0	random	27	7	4	0	38
Pilon	--fix bases --flank 2 --K 21 --mindepth 0.57 --minmq 50 --minqual 28	random	14	8	7	5	34
Pilon	--fix bases --flank 11 --K 11 --mindepth 2 --minmq 17 --minqual 25	mutated	13	6	3	0	22
Pilon	--fix all --flank 9 --K 65 --mindepth 4 --minmq 26 --minqual 18 --nostrays	random	14	8	3	138	163
Pilon	--fix all --flank 13 --K 21 --mindepth 1 --minmq 54 --minqual 35 --nostrays	random	18	18	17	17	70
Pilon	--fix bases --flank 11 --K 11 --mindepth 3 --minmq 17 --minqual 29	mutated	12	7	3	0	22
Pilon	--fix all --flank 7 --K 55 --mindepth 1 --minmq 29 --minqual 37 --nostrays	random	17	18	17	17	69
Pilon	--fix all --flank 11 --K 13 --mindepth 2 --minmq 17 --minqual 29	mutated	12	23354	19063	7692	50121
Pilon	--fix all --flank 6 --K 95 --mindepth 2 --minmq 8 --minqual 7	random	28	7	3	0	38
Pilon	--fix bases --flank 10 --K 15 --mindepth 18 --minmq 0 --minqual 12	random	18	18	15	14	65
Pilon	--fix bases --flank 11 --K 11 --mindepth 2 --minmq 11 --minqual 24	mutated	13	6	3	0	22
Pilon	--fix all --flank 11 --K 91 --mindepth 0.78 --minmq 35 --minqual 8 --nostrays	random	15	10	8	8	41
Pilon	--fix bases --flank 11 --K 95 --mindepth 0.2 --minmq 13 --minqual 26 --nostrays	random	15	8	3	1	27
Pilon	--fix all --flank 4 --K 83 --mindepth 0.62 --minmq 37 --minqual 16	random	14	9	5	8	36
Pilon	--fix bases --flank 11 --K 11 --mindepth 1 --minmq 21 --minqual 27	mutated	47	15	7	0	69
Pilon	--fix all --flank 6 --K 93 --mindepth 1 --minmq 37 --minqual 23 --nostrays	random	72	18	6	1	97
Pilon	--fix bases --flank 4 --K 41 --mindepth 0.04 --minmq 57 --minqual 26 --nostrays	random	14	8	3	0	25
Pilon	--fix all --flank 5 --K 31 --mindepth 0.96 --minmq 54 --minqual 40	random	17	18	18	18	71
Pilon	--fix all --flank 8 --K 99 --mindepth 9 --minmq 2 --minqual 6 --nostrays	random	17	12	7	3	39
Pilon	--fix bases --flank 11 --K 11 --mindepth 1 --minmq 17 --minqual 29	mutated	47	15	7	0	69
Pilon	--fix bases --flank 17 --K 35 --mindepth 0.32 --minmq 26 --minqual 5 --nostrays	random	16	10	3	0	29
Pilon	--fix bases --flank 0 --K 59 --mindepth 22 --minmq 20 --minqual 8 --nostrays	random	18	18	15	15	66
Pilon	--fix bases --flank 8 --K 11 --mindepth 2 --minmq 9 --minqual 29	mutated	13	6	3	0	22
Pilon	--fix all --flank 9 --K 97 --mindepth 13 --minmq 53 --minqual 23	random	18	16	13	10	57
Pilon	--fix bases --flank 13 --K 11 --mindepth 2 --minmq 17 --minqual 29	mutated	14	6	3	0	23
Pilon	--fix all --flank 18 --K 67 --mindepth 0.5 --minmq 53 --minqual 31	random	16	10	4	5	35
Pilon	--fix bases --flank 11 --K 79 --mindepth 0.45 --minmq 33 --minqual 38 --nostrays	random	17	18	17	17	69
Pilon	--fix all --flank 11 --K 11 --mindepth 2 --minmq 17 --minqual 29	mutated	12	144396	32771	4329	181508
Pilon	--fix all --flank 12 --K 21 --mindepth 0.61 --minmq 40 --minqual 17 --nostrays	random	16	8	503	352	879
Pilon	--fix all --flank 9 --K 11 --mindepth 2 --minmq 17 --minqual 29	mutated	13	136164	32276	4643	173096
Pilon	--fix all --flank 12 --K 81 --mindepth 0.31 --minmq 57 --minqual 25	random	16	8	3	1	28
Pilon	--fix bases --flank 11 --K 11 --mindepth 2 --minmq 8 --minqual 29	mutated	12	6	3	0	21
Pilon	--fix all --flank 2 --K 57 --mindepth 2 --minmq 23 --minqual 40 --nostrays	random	17	18	17	17	69
Pilon	--fix bases --flank 9 --K 11 --mindepth 2 --minmq 8 --minqual 29	mutated	13	6	3	0	22
