genome	target_illumina_depth	polishing	remaining_errors
ATCC_33560_Campylobacter_jejuni	00.1	pypolca+Polypolish-careful	5
ATCC_33560_Campylobacter_jejuni	00.1	pypolca-careful+Polypolish	5
ATCC_35221_Campylobacter_lari	00.1	Polypolish	18
ATCC_35221_Campylobacter_lari	00.1	Polypolish-careful	18
ATCC_35221_Campylobacter_lari	00.1	pypolca	18
ATCC_35221_Campylobacter_lari	00.1	pypolca-careful	18
ATCC_35221_Campylobacter_lari	00.1	HyPo	18
ATCC_35221_Campylobacter_lari	00.1	FMLRC2	18
ATCC_35221_Campylobacter_lari	00.1	NextPolish	319
ATCC_35221_Campylobacter_lari	00.1	Polypolish+pypolca	18
ATCC_35221_Campylobacter_lari	00.1	Polypolish-careful+pypolca-careful	18
ATCC_35221_Campylobacter_lari	00.1	Polypolish-careful+pypolca	18
ATCC_35221_Campylobacter_lari	00.1	Polypolish+pypolca-careful	18
ATCC_35221_Campylobacter_lari	00.1	pypolca+Polypolish	18
ATCC_35221_Campylobacter_lari	00.1	pypolca-careful+Polypolish-careful	18
ATCC_35221_Campylobacter_lari	00.1	pypolca+Polypolish-careful	18
ATCC_35221_Campylobacter_lari	00.1	pypolca-careful+Polypolish	18
ATCC_35897_Listeria_welshimeri	00.1	Polypolish	1
ATCC_35897_Listeria_welshimeri	00.1	Polypolish-careful	1
ATCC_35897_Listeria_welshimeri	00.1	pypolca	1
ATCC_35897_Listeria_welshimeri	00.1	pypolca-careful	1
ATCC_35897_Listeria_welshimeri	00.1	HyPo	1
ATCC_35897_Listeria_welshimeri	00.1	FMLRC2	1
ATCC_35897_Listeria_welshimeri	00.1	NextPolish	682
ATCC_35897_Listeria_welshimeri	00.1	Polypolish+pypolca	1
ATCC_35897_Listeria_welshimeri	00.1	Polypolish-careful+pypolca-careful	1
ATCC_35897_Listeria_welshimeri	00.1	Polypolish-careful+pypolca	1
ATCC_35897_Listeria_welshimeri	00.1	Polypolish+pypolca-careful	1
ATCC_35897_Listeria_welshimeri	00.1	pypolca+Polypolish	1
ATCC_35897_Listeria_welshimeri	00.1	pypolca-careful+Polypolish-careful	1
ATCC_35897_Listeria_welshimeri	00.1	pypolca+Polypolish-careful	1
ATCC_35897_Listeria_welshimeri	00.1	pypolca-careful+Polypolish	1
ATCC_BAA-679_Listeria_monocytogenes	00.1	Polypolish	0
ATCC_BAA-679_Listeria_monocytogenes	00.1	Polypolish-careful	0
ATCC_BAA-679_Listeria_monocytogenes	00.1	pypolca	3
ATCC_BAA-679_Listeria_monocytogenes	00.1	pypolca-careful	0
ATCC_BAA-679_Listeria_monocytogenes	00.1	HyPo	0
ATCC_BAA-679_Listeria_monocytogenes	00.1	FMLRC2	0
ATCC_BAA-679_Listeria_monocytogenes	00.1	NextPolish	626
ATCC_BAA-679_Listeria_monocytogenes	00.1	Polypolish+pypolca	3
ATCC_BAA-679_Listeria_monocytogenes	00.1	Polypolish-careful+pypolca-careful	0
ATCC_BAA-679_Listeria_monocytogenes	00.1	Polypolish-careful+pypolca	3
ATCC_BAA-679_Listeria_monocytogenes	00.1	Polypolish+pypolca-careful	0
ATCC_BAA-679_Listeria_monocytogenes	00.1	pypolca+Polypolish	3
ATCC_BAA-679_Listeria_monocytogenes	00.1	pypolca-careful+Polypolish-careful	0
ATCC_BAA-679_Listeria_monocytogenes	00.1	pypolca+Polypolish-careful	3
ATCC_BAA-679_Listeria_monocytogenes	00.1	pypolca-careful+Polypolish	0
ATCC_10708_Salmonella_enterica	00.2	Polypolish	3
ATCC_10708_Salmonella_enterica	00.2	Polypolish-careful	3
ATCC_10708_Salmonella_enterica	00.2	pypolca	9
ATCC_10708_Salmonella_enterica	00.2	pypolca-careful	3
ATCC_10708_Salmonella_enterica	00.2	HyPo	5
ATCC_10708_Salmonella_enterica	00.2	FMLRC2	6
ATCC_10708_Salmonella_enterica	00.2	NextPolish	1796
ATCC_10708_Salmonella_enterica	00.2	Polypolish+pypolca	9
ATCC_10708_Salmonella_enterica	00.2	Polypolish-careful+pypolca-careful	3
ATCC_10708_Salmonella_enterica	00.2	Polypolish-careful+pypolca	9
ATCC_10708_Salmonella_enterica	00.2	Polypolish+pypolca-careful	3
ATCC_10708_Salmonella_enterica	00.2	pypolca+Polypolish	9
ATCC_10708_Salmonella_enterica	00.2	pypolca-careful+Polypolish-careful	3
ATCC_10708_Salmonella_enterica	00.2	pypolca+Polypolish-careful	9
ATCC_10708_Salmonella_enterica	00.2	pypolca-careful+Polypolish	3
ATCC_14035_Vibrio_cholerae	00.2	Polypolish	2
ATCC_14035_Vibrio_cholerae	00.2	Polypolish-careful	2
ATCC_14035_Vibrio_cholerae	00.2	pypolca	6
ATCC_14035_Vibrio_cholerae	00.2	pypolca-careful	2
ATCC_14035_Vibrio_cholerae	00.2	HyPo	2
