"","genome","depth","Polypolish","Polypolish-careful","pypolca","pypolca-careful","HyPo","FMLRC2","NextPolish","Pilon","Polypolish+pypolca","Polypolish-careful+pypolca-careful","Polypolish-careful+pypolca","Polypolish+pypolca-careful","pypolca+Polypolish","pypolca-careful+Polypolish-careful","pypolca+Polypolish-careful","pypolca-careful+Polypolish","Hapo-G","before_polish","Polypolish_overall_decreased_accuracy","Polypolish-careful_overall_decreased_accuracy","pypolca_overall_decreased_accuracy","pypolca-careful_overall_decreased_accuracy","HyPo_overall_decreased_accuracy","FMLRC2_overall_decreased_accuracy","NextPolish_overall_decreased_accuracy","Pilon_overall_decreased_accuracy","Hapo-G_overall_decreased_accuracy","Polypolish+pypolca_overall_decreased_accuracy","Polypolish-careful+pypolca-careful_overall_decreased_accuracy","Polypolish-careful+pypolca_overall_decreased_accuracy","Polypolish+pypolca-careful_overall_decreased_accuracy","pypolca+Polypolish_overall_decreased_accuracy","pypolca-careful+Polypolish-careful_overall_decreased_accuracy","pypolca-careful+Polypolish_overall_decreased_accuracy","pypolca+Polypolish-careful_overall_decreased_accuracy"
"466","ATCC_35221_Campylobacter_lari",5.2,11,11,51,8,55,1234,789,15,51,8,51,8,51,8,51,8,12,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"467","ATCC_35897_Listeria_welshimeri",5.2,1,1,86,1,124,1032,1907,6,86,1,86,1,86,1,86,1,14,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"468","ATCC_BAA-679_Listeria_monocytogenes",5.2,0,0,100,0,165,1038,1938,12,100,0,100,0,100,0,100,0,17,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"469","ATCC_10708_Salmonella_enterica",5.3,3,3,154,4,295,3470,3107,6,154,4,154,4,154,4,154,4,33,3,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"470","ATCC_14035_Vibrio_cholerae",5.3,2,1,105,1,217,3043,3005,5567,105,1,105,2,106,1,105,2,33,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"471","ATCC_17802_Vibrio_parahaemolyticus",5.3,2,1,118,2,197,3446,3271,12,119,2,118,3,118,2,118,3,21,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"472","ATCC_19119_Listeria_ivanovii",5.3,4,4,53,4,136,958,1458,4,53,4,53,4,53,4,53,4,17,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"473","ATCC_25922_Escherichia_coli",5.3,4,1,121,1,231,3998,3727,12,124,1,121,4,124,1,121,4,22,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"474","ATCC_33560_Campylobacter_jejuni",5.3,4,4,32,4,70,1672,1012,9,32,4,32,4,32,4,32,4,13,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"475","ATCC_35221_Campylobacter_lari",5.3,9,9,30,7,56,1640,765,11,30,7,30,7,30,7,30,7,17,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"476","ATCC_35897_Listeria_welshimeri",5.3,1,1,82,1,106,1471,1783,2,82,1,82,1,82,1,82,1,17,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"477","ATCC_BAA-679_Listeria_monocytogenes",5.3,0,0,131,0,125,1157,2013,0,131,0,131,0,130,0,131,0,19,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"478","ATCC_10708_Salmonella_enterica",5.4,3,3,146,2,256,3354,3094,2,146,2,146,2,146,2,146,2,35,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"479","ATCC_14035_Vibrio_cholerae",5.4,2,2,91,1,218,3581,2742,7,91,1,91,1,91,1,91,1,28,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"480","ATCC_17802_Vibrio_parahaemolyticus",5.4,2,2,112,1,295,3306,3203,5,112,1,112,1,112,1,112,1,20,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"481","ATCC_19119_Listeria_ivanovii",5.4,5,5,52,5,133,932,1469,5,52,5,52,5,52,5,52,5,16,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"482","ATCC_25922_Escherichia_coli",5.4,4,1,137,1,238,4458,3542,8,140,1,137,4,140,1,137,4,32,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"483","ATCC_33560_Campylobacter_jejuni",5.4,3,3,28,2,85,1523,937,12,28,2,28,2,28,2,28,2,10,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"484","ATCC_35221_Campylobacter_lari",5.4,15,15,29,8,42,1557,741,15,29,8,29,8,29,8,29,8,17,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"485","ATCC_35897_Listeria_welshimeri",5.4,1,1,62,1,125,1427,1772,8,62,1,62,1,62,1,62,1,12,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"486","ATCC_BAA-679_Listeria_monocytogenes",5.4,0,0,96,0,127,1191,1974,3,96,0,96,0,96,0,96,0,19,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"487","ATCC_10708_Salmonella_enterica",5.5,2,1,179,1,290,3276,3164,4,180,1,179,2,180,1,179,2,24,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"488","ATCC_14035_Vibrio_cholerae",5.5,2,2,68,2,218,3141,2570,1390,68,2,68,2,68,2,68,2,26,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"489","ATCC_17802_Vibrio_parahaemolyticus",5.5,2,2,108,3,259,2772,3068,12,108,3,108,3,108,3,108,3,35,2,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"490","ATCC_19119_Listeria_ivanovii",5.5,4,4,63,4,143,871,1485,7,63,4,63,4,63,4,63,4,19,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"491","ATCC_25922_Escherichia_coli",5.5,1,1,161,1,224,4452,3492,274,161,1,161,1,161,1,161,1,14,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"492","ATCC_33560_Campylobacter_jejuni",5.5,2,2,34,2,56,1722,801,4,34,2,34,2,34,2,34,2,6,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"493","ATCC_35221_Campylobacter_lari",5.5,9,9,29,7,46,1490,653,13,29,7,29,7,29,7,29,7,11,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"494","ATCC_35897_Listeria_welshimeri",5.5,1,1,88,2,125,1020,1730,2,88,2,88,2,88,2,88,2,13,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"495","ATCC_BAA-679_Listeria_monocytogenes",5.5,0,0,91,0,151,1055,1953,4,91,0,91,0,91,0,91,0,15,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"496","ATCC_10708_Salmonella_enterica",5.6,2,1,144,1,303,3286,3188,6,145,1,144,2,145,1,144,2,32,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"497","ATCC_14035_Vibrio_cholerae",5.6,3,1,86,2,246,3330,2503,13,88,2,86,4,88,2,86,4,25,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"498","ATCC_17802_Vibrio_parahaemolyticus",5.6,2,2,101,2,222,2967,3209,18,101,2,101,2,101,2,101,2,25,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"499","ATCC_19119_Listeria_ivanovii",5.6,5,5,57,5,123,1147,1260,7,57,5,57,5,57,5,57,5,22,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"500","ATCC_25922_Escherichia_coli",5.6,2,1,133,1,246,4416,3289,9,134,1,133,2,134,1,133,2,27,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"501","ATCC_33560_Campylobacter_jejuni",5.6,3,3,28,0,53,1662,833,2,28,0,28,0,28,0,28,0,3,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"502","ATCC_35221_Campylobacter_lari",5.6,10,10,22,6,53,1281,599,8,22,6,22,6,22,6,22,6,9,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"503","ATCC_35897_Listeria_welshimeri",5.6,1,0,69,1,102,1232,1565,1,70,1,69,2,70,1,69,2,14,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"504","ATCC_BAA-679_Listeria_monocytogenes",5.6,0,0,72,1,177,1034,1815,4,72,1,72,1,72,1,72,1,12,0,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"505","ATCC_10708_Salmonella_enterica",5.7,3,3,155,3,272,3363,2930,9,155,3,155,3,155,3,155,3,28,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"506","ATCC_14035_Vibrio_cholerae",5.7,1,1,102,1,190,3165,2458,18,102,1,102,1,102,1,102,1,23,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"507","ATCC_17802_Vibrio_parahaemolyticus",5.7,1,1,101,1,234,3166,2751,494,101,1,101,1,101,1,101,1,29,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"508","ATCC_19119_Listeria_ivanovii",5.7,5,5,45,4,136,1158,1229,7,45,4,45,4,45,4,45,4,20,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"509","ATCC_25922_Escherichia_coli",5.7,1,1,123,1,283,4380,3107,7,123,1,123,1,122,1,123,1,26,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"510","ATCC_33560_Campylobacter_jejuni",5.7,3,3,28,2,63,1917,724,5,28,2,28,2,28,2,28,2,7,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"511","ATCC_35221_Campylobacter_lari",5.7,12,12,32,6,52,1395,677,15,32,6,32,6,32,6,32,6,14,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"512","ATCC_35897_Listeria_welshimeri",5.7,1,1,77,1,109,997,1474,3,77,1,77,1,77,1,77,1,19,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"513","ATCC_BAA-679_Listeria_monocytogenes",5.7,0,0,90,0,108,1111,1741,3,90,0,90,0,90,0,90,0,15,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"514","ATCC_10708_Salmonella_enterica",5.8,4,1,115,1,270,3527,2706,15,118,1,115,4,118,1,115,4,32,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"515","ATCC_14035_Vibrio_cholerae",5.8,2,1,100,1,210,3121,2444,14,101,1,100,2,101,1,100,2,24,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"516","ATCC_17802_Vibrio_parahaemolyticus",5.8,3,2,121,2,241,2677,2919,6,121,2,121,3,122,2,121,3,27,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"517","ATCC_19119_Listeria_ivanovii",5.8,5,5,37,4,156,1085,1364,7,37,4,37,4,37,4,37,4,17,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"518","ATCC_25922_Escherichia_coli",5.8,1,1,136,1,253,4403,3015,13,136,1,136,1,136,1,136,1,27,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"519","ATCC_33560_Campylobacter_jejuni",5.8,3,3,24,1,50,1897,684,5,24,1,24,1,24,1,24,1,8,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"520","ATCC_35221_Campylobacter_lari",5.8,9,9,39,6,79,1425,654,278,39,6,39,6,39,6,39,6,16,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"521","ATCC_35897_Listeria_welshimeri",5.8,1,1,61,3,110,1186,1420,1,61,3,61,3,61,3,61,3,14,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"522","ATCC_BAA-679_Listeria_monocytogenes",5.8,0,0,101,0,136,1297,1627,3,101,0,101,0,101,0,101,0,12,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"523","ATCC_10708_Salmonella_enterica",5.9,5,3,143,3,256,3251,2666,12,145,3,143,5,145,3,143,5,41,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"524","ATCC_14035_Vibrio_cholerae",5.9,1,1,87,1,217,3063,2336,253,87,1,87,1,87,1,87,1,24,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"525","ATCC_17802_Vibrio_parahaemolyticus",5.9,1,1,98,0,225,3472,2616,8,98,0,98,0,98,0,98,0,22,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"526","ATCC_19119_Listeria_ivanovii",5.9,5,5,49,1,117,1142,1229,5,49,1,49,1,49,1,49,1,20,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"527","ATCC_25922_Escherichia_coli",5.9,2,1,121,1,264,3970,3050,4,122,1,121,2,122,1,121,2,28,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"528","ATCC_33560_Campylobacter_jejuni",5.9,4,4,54,2,53,1767,735,9,54,2,54,2,54,2,54,2,7,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"529","ATCC_35221_Campylobacter_lari",5.9,7,7,25,6,55,1757,636,15,25,6,25,6,24,6,25,6,11,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"530","ATCC_35897_Listeria_welshimeri",5.9,1,1,80,2,128,1142,1487,2,80,2,80,2,80,2,80,2,22,1,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"531","ATCC_BAA-679_Listeria_monocytogenes",5.9,0,0,92,0,138,861,1727,1,92,0,92,0,92,0,92,0,22,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"532","ATCC_10708_Salmonella_enterica",6,3,2,126,2,244,3426,2569,9,127,2,126,3,127,2,126,3,39,3,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"533","ATCC_14035_Vibrio_cholerae",6,0,0,78,0,179,2838,2091,16,78,0,78,0,78,0,78,0,17,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"534","ATCC_17802_Vibrio_parahaemolyticus",6,3,1,115,1,213,2914,2558,15,117,1,115,3,117,1,115,3,22,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"535","ATCC_19119_Listeria_ivanovii",6,5,5,61,3,129,904,1191,3,61,3,61,3,61,3,61,3,21,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"536","ATCC_25922_Escherichia_coli",6,2,1,134,1,256,4167,3104,14,135,1,134,2,135,1,134,2,31,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"537","ATCC_33560_Campylobacter_jejuni",6,4,4,27,2,52,1634,673,9,27,2,27,2,27,2,27,2,8,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"538","ATCC_35221_Campylobacter_lari",6,9,9,25,7,59,1665,584,14,25,7,25,7,25,7,25,7,14,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"539","ATCC_35897_Listeria_welshimeri",6,1,1,60,1,130,1338,1448,4,60,1,60,1,60,1,60,1,13,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"540","ATCC_BAA-679_Listeria_monocytogenes",6,0,0,75,0,182,1086,1490,1,75,0,75,0,75,0,75,0,27,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"541","ATCC_10708_Salmonella_enterica",6.1,5,3,139,3,284,3005,2760,12,141,3,139,5,141,3,139,5,35,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"542","ATCC_14035_Vibrio_cholerae",6.1,0,0,86,0,191,2836,2136,13,86,0,86,0,86,0,86,0,18,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"543","ATCC_17802_Vibrio_parahaemolyticus",6.1,2,2,84,1,274,2808,2445,10,84,1,84,1,84,1,84,1,37,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"544","ATCC_19119_Listeria_ivanovii",6.1,5,5,63,5,140,1125,1224,6,63,5,63,5,63,5,63,5,18,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"545","ATCC_25922_Escherichia_coli",6.1,5,1,133,1,217,4833,2753,9,137,1,133,5,137,1,133,5,37,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"546","ATCC_33560_Campylobacter_jejuni",6.1,2,2,23,0,65,2241,659,4,23,0,23,0,23,0,23,0,12,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"547","ATCC_35221_Campylobacter_lari",6.1,9,8,23,4,58,1439,510,14,24,4,23,5,24,4,23,5,6,18,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"548","ATCC_35897_Listeria_welshimeri",6.1,1,1,48,1,121,1163,1244,1,48,1,48,1,48,1,48,1,14,1,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"549","ATCC_BAA-679_Listeria_monocytogenes",6.1,0,0,84,0,161,1131,1490,0,84,0,84,0,84,0,84,0,26,0,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"550","ATCC_10708_Salmonella_enterica",6.2,6,2,123,2,261,3683,2402,7,127,2,123,6,127,2,123,6,35,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"551","ATCC_14035_Vibrio_cholerae",6.2,1,1,101,0,145,3505,1986,17,101,0,101,0,101,0,101,0,35,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"552","ATCC_17802_Vibrio_parahaemolyticus",6.2,2,2,88,2,212,3066,2331,9,88,2,88,2,88,2,88,2,38,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"553","ATCC_19119_Listeria_ivanovii",6.2,5,5,61,5,137,1055,1173,7,61,5,61,5,61,5,61,5,26,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
"554","ATCC_25922_Escherichia_coli",6.2,5,1,91,1,267,3931,2693,141,95,1,91,5,95,1,91,5,41,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
"555","ATCC_33560_Campylobacter_jejuni",6.2,1,1,25,0,43,1707,620,3,25,0,25,0,25,0,25,0,7,5,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
